task_id,src_endpoint,dst_endpoint,range_begin,range_end,src_ip,src_port,dst_ip,dst_port,packet_size
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,39042,13.209.96.73,9000,66
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,43108,10.2.0.81,9000,74
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,43108,10.2.0.81,9000,66
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,43108,10.2.0.81,9000,327
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,43108,10.2.0.81,9000,66
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,43108,10.2.0.81,9000,66
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,43112,10.2.0.81,9000,74
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,43112,10.2.0.81,9000,66
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,43112,10.2.0.81,9000,337
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,43112,10.2.0.81,9000,66
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,43112,10.2.0.81,9000,66
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,49908,3.36.70.139,9000,74
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,49908,3.36.70.139,9000,66
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,49908,3.36.70.139,9000,600
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,49908,3.36.70.139,9000,66
95d90624-15ee-473d-ba2b-4975e07f2892,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,400,500,10.2.0.145,49908,3.36.70.139,9000,66
