id,job_id,task_id,timestamp,src_ip,dst_ip,src_port,dst_port,packet_size,protocol
402,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.639801+00,10.2.1.147,10.2.2.161,57221,53,153,UDP
403,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.639927+00,10.2.1.147,10.2.3.58,50428,53,153,UDP
404,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.645597+00,10.2.1.147,10.2.2.161,34807,53,141,UDP
405,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.645749+00,10.2.1.147,10.2.3.58,36801,53,141,UDP
406,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.648084+00,10.2.1.147,10.2.2.161,60787,53,137,UDP
407,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.648084+00,10.2.1.147,10.2.3.58,39879,53,137,UDP
408,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.650476+00,10.2.1.147,10.2.3.58,34443,53,123,UDP
409,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.65077+00,10.2.1.147,10.2.2.161,33614,53,123,UDP
410,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.655636+00,10.2.1.147,3.36.70.139,41776,9000,74,TCP
411,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.664676+00,10.2.1.147,3.36.70.139,41776,9000,66,TCP
412,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.665021+00,10.2.1.147,3.36.70.139,41776,9000,777,TCP
413,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.665301+00,10.2.1.147,3.36.70.139,41776,9000,253,TCP
